Account Description,Debit Amount,Credit Amount,Donors,date
CER Donors,"1,917.00000",0.00000,"1,917.00",2021-12-01
LL Donors,"1,917.00000",0.00000,"1,917.00",2021-01-01
ALA Donors,"1,918.00000",0.00000,"1,918.00",2024-02-01
GLP Donors,"1,924.00000",0.00000,"1,924.00",2020-01-01
GLP Donors,"1,924.00000",0.00000,"1,924.00",2021-07-01
RB Donors,693.00000,0.00000,693.00,
ALA Donors,"1,935.00000",0.00000,"1,935.00",2019-06-01
LL Donors,"1,937.00000",0.00000,"1,937.00",2022-01-01
MNL Donors,"1,943.00000",0.00000,"1,943.00",2020-03-01
BN Donors,"1,944.00000",0.00000,"1,944.00",2020-11-01
ALA Donors,"1,952.00000",0.00000,"1,952.00",2021-12-01
GLP Donors,"1,954.00000",0.00000,"1,954.00",2023-10-01
ALA Donors,"1,955.00000",0.00000,"1,955.00",2022-04-01
LL Donors,"1,964.00000",0.00000,"1,964.00",2021-07-01
MNL Donors,"1,965.00000",0.00000,"1,965.00",2020-10-01
RB Donors,"1,971.00000",0.00000,"1,971.00",2019-09-01
ALA Donors,"1,972.00000",0.00000,"1,972.00",2020-08-01
GLP Donors,"1,984.00000",0.00000,"1,984.00",2021-02-01
GLP Donors,"1,987.00000",0.00000,"1,987.00",2020-10-01
ALA Donors,"1,993.00000",0.00000,"1,993.00",2019-08-01
ROS Donors,495.00000,0.00000,495.00,
ROS Donors,580.00000,0.00000,580.00,
GLP Donors,"1,994.00000",0.00000,"1,994.00",2022-01-01
